NT_PROGRAM 	T_EOF
NT_STMTLIST 	T_LOOP, T_END, T_ELSE, T_EOF
NT_STMT 	T_IMPORT, T_ENDL, T_RETURN, T_BREAK, T_CONTINUE, T_ID, T_IF, T_WHILE, T_FUNCTION, T_ITERATE, T_FOR, T_LOOP, T_END, T_ELSE, T_EOF
NT_LVSTMT 	T_ENDL
NT_CALL 	T_ENDL
NT_CALL1 	T_ENDL
NT_FUNCTIONDEF 	T_ENDL
NT_PARAMETERS 	T_ENDL
NT_PARAMETERS1 	T_ENDL
NT_PARAMDECL 	T_RPARENS
NT_PARAMDECL1 	T_RPARENS
NT_IF 	T_ENDL
NT_ELSEIF1 	T_ENDL
NT_ELSEIF2 	T_ENDL
NT_FORLOOP 	T_ENDL
NT_WHILELOOP 	T_ENDL
NT_INDEFINITELOOP 	T_ENDL
NT_ASSIGNMENT 	T_ENDL
NT_EXPR 	T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_CONDITION 	T_DO, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_CONDITION1 	T_DO, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_LOGIC 	T_AND, T_OR, T_DO, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_COMPARISON 	T_AND, T_OR, T_DO, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_COMPARISON1 	T_AND, T_OR, T_DO, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_ARITHMETIC 	T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_ARITHMETIC1 	T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_TERM 	T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_TERM1 	T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_FACTOR 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_FINAL 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_LVALUE 	T_LPARENS, T_ASSIGN, T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_LVALUE1 	T_LPARENS, T_ASSIGN, T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_REFERENCE 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_REFERENCE1 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_REFERENCE2 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_ARGUMENTS 	T_RPARENS
NT_ARGUMENTS1 	T_RPARENS
NT_OBJECT 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_OBJECT1 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
NT_ARRAYINIT 	T_RBRACKET
NT_ARRAYINIT1 	T_RBRACKET
NT_DICTIONARYINIT 	T_RBRACES
NT_DICTIONARYINIT1 	T_RBRACES
NT_BOOLEAN 	T_TIMES, T_DIV, T_PLUS, T_MINUS, T_EQ, T_NEQ, T_LT, T_GT, T_LE, T_GE, T_TO, T_DO, T_AND, T_OR, T_THEN, T_COMMA, T_RBRACKET, T_RPARENS, T_ENDL, T_RBRACES
